Date,Total Yield (Smooth),GridDurationHours,MaintDurationHours,DelREMO,Temp (Smooth),Cloud Cover (Smooth)
2020-07-02,298.48066666666665,0.0025,0.0,0.0,32.166666666666664,32.279999999999994
2020-07-03,297.346,0.0022222222222222,0.0,0.0,32.21999999999999,33.81333333333333
2020-07-04,298.82733333333334,0.0,0.0,0.0,32.10666666666666,33.4
2020-07-05,298.946,0.0038888888888888,0.0,0.0,31.913333333333334,34.66666666666667
2020-07-06,303.62,0.0,0.0,0.0,31.946666666666665,35.75333333333334
2020-07-07,304.5466666666667,0.0,0.0,0.0,32.03333333333333,36.25333333333333
2020-07-08,288.38,0.0,0.0,0.0,31.77333333333333,40.65333333333333
2020-07-09,291.2726666666667,0.0,0.0,0.0,31.853333333333335,40.86666666666667
2020-07-10,300.2133333333333,0.0,0.0,0.0,31.96666666666667,40.973333333333336
2020-07-11,295.05333333333334,0.0,0.0,0.0,31.820000000000004,41.79333333333334
2020-07-12,280.7593333333333,0.0058333333333333,0.0,0.0,31.38,45.02666666666667
2020-07-13,283.54,0.0,0.0,0.0,31.006666666666664,45.77333333333333
2020-07-14,286.54,0.0,0.0,0.0,31.019999999999996,45.06
2020-07-15,286.4866666666667,0.0,0.0,0.0,30.919999999999998,45.099999999999994
2020-07-16,286.84666666666664,0.0019444444444444,0.0,0.0,30.773333333333333,45.96000000000001
2020-07-17,289.00600000000003,0.0,0.0,0.0,30.633333333333333,46.64
2020-07-18,281.58733333333333,0.0,0.0,0.0,30.34666666666667,49.35333333333333
2020-07-19,278.906,0.0,0.0,0.0,30.333333333333336,51.69333333333332
2020-07-20,275.44066666666663,0.0,0.0,0.0,30.346666666666668,53.59333333333333
2020-07-21,261.85266666666666,0.0,0.0,0.7575000000000001,29.926666666666666,56.726666666666674
2020-07-22,247.13333333333333,0.0019444444444444,0.0,0.0,29.626666666666665,57.646666666666675
2020-07-23,264.094,0.0,0.0,0.0,29.720000000000002,54.62
2020-07-24,262.7606666666667,0.0019444444444444,0.0,0.0,29.70666666666667,54.72666666666667
2020-07-25,259.514,0.0,0.0,0.0,29.653333333333332,56.059999999999995
2020-07-26,267.294,0.0,0.0,0.0841666666666666,29.806666666666665,56.01333333333333
2020-07-27,282.094,0.0041666666666666,0.0,0.0,30.19333333333333,53.346666666666664
2020-07-28,279.74066666666664,0.0,0.0,0.0,30.406666666666666,54.22666666666666
2020-07-29,270.6406666666666,0.0,0.0,0.0,30.273333333333333,58.91333333333333
2020-07-30,260.78,0.0,0.0,0.0,30.113333333333333,61.353333333333325
2020-07-31,258.99399999999997,0.0063888888888888,0.0,0.0,30.026666666666667,63.246666666666655
2020-08-01,244.49400000000003,0.0022222222222222,0.0,0.0,29.773333333333333,64.00666666666666
2020-08-02,251.94,0.0041666666666666,0.0,0.0,29.78,62.79333333333332
2020-08-03,253.04066666666665,0.0,0.0,0.0,29.860000000000003,61.51333333333333
2020-08-04,253.38666666666666,0.0,0.0,0.0,29.966666666666665,59.853333333333325
