Date,Total Yield [kWh],GridDurationHours,MaintDurationHours,DelREMO,Temp,Prcp,Cloud Cover,Conditions,Total Yield (Smooth),Cloud Cover (Smooth),Temp (Smooth)
2019-02-01,190.3,0.0,0.0,0.0,14.3,1.0116009116784799,67.1,"Rain, Partially cloudy",12.686666666666667,4.473333333333333,0.9533333333333334
2019-02-02,246.5,0.0041666666666666,0.0,0.0,12.4,0.0,12.0,Clear,29.12,5.2733333333333325,1.78
2019-02-03,227.3,0.0,0.0,0.0,12.3,0.0,0.0,Clear,44.27333333333333,5.2733333333333325,2.6
2019-02-04,205.9,0.0019444444444444,0.0,0.0,12.1,0.0,40.7,Partially cloudy,58.0,7.986666666666666,3.4066666666666667
2019-02-05,191.5,0.0038888888888888,0.0,4.345833333333333,16.2,0.0,74.2,Partially cloudy,70.76666666666667,12.933333333333334,4.486666666666666
2019-02-06,220.7,0.0058333333333333,0.0,0.0,16.5,0.0,63.0,Partially cloudy,85.48,17.133333333333333,5.586666666666666
2019-02-07,8.3,0.0038888888888888,0.0,5.610277777777778,15.0,2.3978952727983707,69.3,"Rain, Partially cloudy",86.03333333333333,21.753333333333334,6.586666666666666
2019-02-08,305.0,0.0,0.0,5.682777777777778,12.3,2.3978952727983707,25.3,"Rain, Partially cloudy",106.36666666666667,23.439999999999998,7.406666666666667
2019-02-09,278.4,0.0,0.0,1.5013888888888889,14.4,0.0,6.6,Clear,124.92666666666668,23.88,8.366666666666667
2019-02-10,268.7,0.0,0.0,0.0,14.5,0.0,67.9,Partially cloudy,142.84,28.406666666666666,9.333333333333334
2019-02-11,261.9,0.0,0.0,0.8036111111111112,15.5,0.0,66.9,Partially cloudy,160.3,32.86666666666667,10.366666666666667
2019-02-12,141.9,0.0,0.0,7.368888888888888,16.4,0.0,76.6,Overcast,169.76,37.97333333333333,11.46
2019-02-13,220.1,0.0,0.0,0.0,17.4,0.0,64.1,Partially cloudy,184.43333333333334,42.24666666666666,12.620000000000001
2019-02-14,117.1,0.0,0.0,0.0,17.5,1.7173950539391927,78.1,"Rain, Overcast",192.24,47.453333333333326,13.786666666666667
2019-02-15,143.5,0.0,0.0,0.0,16.7,2.3978952727983707,84.7,"Rain, Overcast",201.80666666666667,53.099999999999994,14.9
2019-02-16,235.5,0.0,0.0,0.0,16.7,1.3862943611198906,54.0,"Rain, Partially cloudy",204.82,52.22666666666667,15.059999999999999
2019-02-17,195.4,0.0,0.0,0.0,15.3,0.0,58.1,Partially cloudy,201.41333333333333,55.300000000000004,15.253333333333334
2019-02-18,144.3,0.0,0.0,0.0838888888888888,14.6,1.7578579175523736,60.5,"Rain, Partially cloudy",195.88,59.333333333333336,15.406666666666666
2019-02-19,251.7,0.0,0.0,0.0,17.0,1.5107219394949425,71.9,"Rain, Partially cloudy",198.93333333333334,61.413333333333334,15.73333333333333
2019-02-20,95.0,0.0,0.0,0.0,17.1,0.9895411936137477,86.8,"Rain, Overcast",192.50000000000003,62.25333333333334,15.793333333333333
2019-02-21,261.7,0.0,0.0,0.0,19.0,1.8082887711792655,72.9,"Rain, Partially cloudy",195.23333333333335,62.91333333333334,15.960000000000003
2019-02-22,216.6,0.0,0.0,0.0,16.7,2.3978952727983707,46.3,"Rain, Partially cloudy",209.12,61.38,16.073333333333334
2019-02-23,361.4,0.0,0.0,0.0,15.4,0.0,37.4,Partially cloudy,212.87999999999997,62.18666666666667,16.28
2019-02-24,361.7,0.0019444444444444,0.0,0.0,14.5,0.0,44.3,Partially cloudy,218.4333333333333,64.7,16.286666666666665
2019-02-25,344.7,0.0,0.0,0.0,14.8,0.0,21.3,Clear,223.5,61.59333333333333,16.306666666666665
2019-02-26,148.8,0.0,0.0,6.1563888888888885,15.1,1.4586150226995167,51.7,"Rain, Partially cloudy",215.96,60.57999999999999,16.28
2019-02-27,318.2,0.0,0.0,0.0,13.0,2.3978952727983707,62.3,"Rain, Partially cloudy",227.71333333333334,59.626666666666665,16.05333333333333
2019-02-28,338.6,0.0,0.0,0.0,13.2,0.0,15.9,Clear,235.61333333333332,56.413333333333334,15.773333333333333
2019-03-01,336.4,0.0,0.0,0.0844444444444444,14.8,0.0,28.5,Partially cloudy,250.23333333333332,53.10666666666666,15.593333333333334
2019-03-02,82.6,0.0,0.0,0.0,14.6,2.1972245773362196,91.4,"Rain, Overcast",246.17333333333332,53.55333333333333,15.453333333333333
2019-03-03,293.8,0.0,0.0,0.0,16.8,2.3978952727983707,59.3,"Rain, Partially cloudy",250.06,53.90666666666666,15.459999999999997
2019-03-04,276.0,0.0,0.0,0.0,16.5,0.6931471805599453,61.5,"Rain, Partially cloudy",255.43333333333334,54.13333333333333,15.539999999999997
2019-03-05,345.8,0.0,0.0,0.0841666666666666,16.5,0.0,9.9,Clear,268.8666666666667,50.76,15.666666666666664
2019-03-06,389.1,0.0,0.0,0.0,17.0,0.0,9.7,Clear,278.0266666666667,46.61333333333333,15.666666666666664
2019-03-07,380.2,0.0,0.0,0.0,17.5,0.0,13.6,Clear,297.04,41.733333333333334,15.693333333333332
2019-03-08,137.6,0.0,0.0,0.0,16.1,0.5822156198526637,62.5,"Rain, Partially cloudy",288.76666666666665,41.04,15.5
2019-03-09,386.9,0.0,0.0,0.0,17.3,0.0,0.2,Clear,300.12000000000006,37.96666666666667,15.54
2019-03-10,380.0,0.0,0.0,0.0,18.1,0.0,0.0,Clear,301.36,35.473333333333336,15.72
2019-03-11,97.9,0.0044444444444444,0.0,0.0,15.8,2.3978952727983707,61.2,"Rain, Partially cloudy",283.7733333333333,36.6,15.806666666666668
2019-03-12,378.8,0.0,0.0,0.0,17.4,1.9459101490553132,10.4,Rain,286.0466666666667,35.873333333333335,15.980000000000002
2019-03-13,118.1,0.0,0.0,0.0,15.5,0.0,60.8,Partially cloudy,284.0,36.480000000000004,16.006666666666668
2019-03-14,157.8,0.0,0.0,2.1102777777777777,15.6,1.572773928062509,57.9,"Rain, Partially cloudy",273.3066666666666,36.18666666666666,16.18
2019-03-15,372.0,0.0,0.0,0.0,19.5,1.3862943611198906,11.3,Rain,275.5333333333333,35.88,16.6
2019-03-16,348.2,0.0,0.0,0.0,20.2,0.0,57.1,Partially cloudy,276.32,37.78666666666666,16.96
2019-03-17,382.3,0.0,0.0,0.0,20.1,0.0,47.5,Partially cloudy,296.3,34.86,17.326666666666668
2019-03-18,332.9,0.0,0.0,1.3977777777777776,20.4,0.0,38.8,Partially cloudy,298.90666666666664,33.49333333333334,17.566666666666666
2019-03-19,366.9,0.0,0.0,0.0,21.5,0.0,21.5,Clear,304.96666666666664,30.826666666666668,17.900000000000002
2019-03-20,324.5,0.0,0.0,1.3769444444444443,22.7,0.0,43.3,Partially cloudy,303.5466666666666,33.053333333333335,18.313333333333333
2019-03-21,355.8,0.0,0.0,0.0,22.2,1.6094379124341003,39.8,"Rain, Partially cloudy",301.3266666666667,35.06,18.66
2019-03-22,407.5,0.0,0.0,0.0,21.5,0.0,36.2,Partially cloudy,303.14666666666665,36.56666666666667,18.926666666666666
2019-03-23,380.0,0.0,0.0,0.0,21.8,0.0,27.6,Partially cloudy,319.3066666666667,34.24,19.30666666666667
2019-03-24,303.3,0.0,0.0,0.0,20.7,0.0,49.2,Partially cloudy,313.73333333333335,37.50666666666667,19.53333333333333
2019-03-25,80.5,0.0,0.0,0.0,18.3,0.1823215567939546,65.9,"Rain, Partially cloudy",293.76666666666665,41.900000000000006,19.546666666666667
2019-03-26,376.7,0.0,0.0,0.0,21.2,0.6931471805599453,12.9,Rain,312.35333333333335,38.67999999999999,19.906666666666666
2019-03-27,325.9,0.0,0.0,0.0,20.9,0.0,54.9,Partially cloudy,308.8266666666667,41.64666666666666,20.14
2019-03-28,358.5,0.0,0.0,0.0,24.1,0.0,26.5,Partially cloudy,324.85333333333335,39.36,20.713333333333335
2019-03-29,330.1,0.0,0.0,0.0,25.5,0.0,46.9,Partially cloudy,336.34,38.626666666666665,21.37333333333333
2019-03-30,341.9,0.0,0.0,0.0,24.7,0.0,30.3,Partially cloudy,334.3333333333333,39.89333333333334,21.72
2019-03-31,415.3,0.0,0.0,0.0,24.5,0.0,11.1,Clear,338.8066666666666,36.826666666666675,22.006666666666668
2019-04-01,358.2,0.0,0.0,1.1844444444444444,24.0,0.0,3.7,Clear,337.2,33.90666666666667,22.26666666666667
2019-04-02,344.3,0.0,0.0,0.0,24.2,0.0,12.2,Clear,337.9599999999999,32.13333333333333,22.52
2019-04-03,282.6,0.0,0.0,2.3972222222222226,25.3,0.0,26.4,Partially cloudy,332.3399999999999,32.46,22.773333333333337
2019-04-04,331.6,0.0,0.0,0.0,27.0,0.0,7.6,Clear,332.81333333333333,30.080000000000002,23.060000000000002
2019-04-05,331.4,0.0,0.0,0.7913888888888889,27.4,0.0,23.9,Clear,331.18666666666667,29.02,23.40666666666667
2019-04-06,330.7,0.0,0.0,0.0,28.3,0.0,10.6,Clear,326.06666666666666,27.313333333333336,23.860000000000003
2019-04-07,324.9,0.0,0.0,0.0,27.5,0.0,38.2,Partially cloudy,322.3933333333333,28.02,24.240000000000002
2019-04-08,203.8,0.0,0.0,2.7783333333333333,25.2,2.302585092994046,30.8,"Rain, Partially cloudy",315.76000000000005,26.793333333333333,24.54
2019-04-09,369.0,0.0,0.0,0.7994444444444445,26.2,2.3978952727983707,17.3,Rain,334.99333333333334,23.55333333333333,25.066666666666663
2019-04-10,332.5,0.0,0.0,0.0,28.9,0.0,22.9,Clear,332.0466666666667,24.22,25.58
2019-04-11,362.4,0.0,0.0,0.0,28.6,0.0,27.2,Partially cloudy,334.4800000000001,22.373333333333335,26.093333333333334
2019-04-12,314.5,0.0,0.0,0.0,27.6,0.0,34.6,Partially cloudy,331.5466666666667,22.913333333333334,26.326666666666664
2019-04-13,142.5,0.0,0.0,13.150833333333331,27.8,0.1823215567939546,52.3,"Rain, Partially cloudy",319.04,23.273333333333337,26.479999999999997
2019-04-14,81.1,0.0,0.0,13.196944444444444,28.4,0.0,50.9,Partially cloudy,301.65333333333325,24.64666666666667,26.726666666666667
2019-04-15,117.7,0.0,0.0,6.0425,29.6,0.0,31.4,Partially cloudy,281.81333333333333,26.000000000000004,27.066666666666663
2019-04-16,194.7,0.0,0.0,0.0,25.1,1.7119945007591924,85.1,"Rain, Overcast",270.91333333333336,31.426666666666666,27.14
