EventDate,DelREMO,E09: No Grid,Grid Frequency out of range,HW Realy Short,Hardware problem,Phase1 Grid Voltage High,Phase1 Grid Voltage Low,GridDurationHours,MaintDurationHours
2019-04-05,0.7913888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-08,2.7783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-09,0.7994444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-13,13.150833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-14,13.196944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-15,6.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-17,1.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-18,1.042777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-20,6.651111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-21,8.473333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-22,9.465277777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-23,11.410833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-25,3.9522222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-26,7.252222222222223,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-04-27,9.392777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-28,16.52777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-29,0.08388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-05-02,0.9252777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0038888888888888888,0.0038888888888888888,0.0
2019-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-05-10,3.3230555555555554,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2019-05-13,2.277222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-15,0.8852777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-16,1.3044444444444445,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.005833333333333333,0.005833333333333333,0.0
2019-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0038888888888888888,0.0038888888888888888,0.0
2019-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-06-12,4.674444444444444,0.0,0.0,0.0,0.0,0.0,0.0038888888888888888,0.0038888888888888888,0.0
2019-06-13,1.0472222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-15,0.9241666666666667,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-06-17,2.816666666666667,0.0,0.0,0.0,0.0,0.0,0.0061111111111111106,0.0061111111111111106,0.0
2019-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2019-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.006111111111111112,0.006111111111111112,0.0
2019-06-24,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0038888888888888888,0.0038888888888888888,0.0
2019-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2019-07-10,6.672500000000001,0.0,0.0,0.0,0.0,0.0,0.006111111111111112,0.006111111111111112,0.0
2019-07-14,2.323611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-15,0.9325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-07-20,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-21,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-22,0.9769444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-25,5.6850000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-02,0.8766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-05,0.2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-08-09,0.5047222222222223,0.0,0.0,0.0,0.0,0.0,3.1441666666666666,3.1441666666666666,0.0
2019-08-10,0.16805555555555557,0.0,0.0,0.0,0.0,0.0,0.0041666666666666675,0.0041666666666666675,0.0
2019-08-11,1.1713888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-12,2.413888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-08-16,7.4719444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-17,1.5630555555555554,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-08-18,7.088333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-19,1.0741666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2019-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0038888888888888888,0.0038888888888888888,0.0
2019-08-27,8.283333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-28,0.6730555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-29,0.16805555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-30,0.08388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-31,0.8027777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-09-05,5.981388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-06,2.916388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-07,1.0091666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.008055555555555555,0.008055555555555555,0.0
2019-09-10,0.25222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-15,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-18,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-20,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-21,1.1775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-09-26,1.2538888888888888,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-09-28,1.6175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2019-10-02,0.7591666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-03,8.762500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-04,0.08388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-10-06,1.0102777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-07,0.16833333333333333,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-10-08,1.767777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-09,0.5052777777777778,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2019-10-10,0.08388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-19,0.5886111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-20,1.9361111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.0
2019-11-02,1.9133333333333333,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2019-11-03,0.8419444444444445,0.0,0.0,0.0,0.0,0.0,0.0038888888888888888,0.0038888888888888888,0.0
2019-11-04,7.932222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-05,0.16833333333333333,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-11-06,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-07,0.16833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-08,1.087777777777778,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-11-09,2.8772222222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-14,2.0119444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-15,0.5894444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-16,3.888611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-19,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-25,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2019-11-27,3.3469444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-28,5.030555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2019-12-03,0.7566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-05,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-08,0.16833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-09,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-10,3.0302777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-13,0.8602777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2019-12-16,0.5791666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17,2.355277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-18,2.805555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0
2019-12-23,1.6277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-24,2.873611111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-30,2.148055555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.9230555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2020-01-05,1.7091666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,2.043888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.08388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,3.912777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.14638888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.08416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.08444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2020-01-27,0.08472222222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,3.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,1.2958333333333334,0.0,0.0,4.416388888888889,0.0,1.6344444444444444,2.1566666666666667,3.7911111111111113,4.416388888888889
2020-01-30,1.9266666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,1.6961111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2020-02-11,1.6044444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2020-03-06,5.716388888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,3.8019444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.012222222222222221,0.012222222222222221,0.0
2020-03-14,1.2408333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.12833333333333333,0.0,0.12833333333333333,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0038888888888888888,0.0,0.0038888888888888888,0.0
2020-03-26,0.0,0.0,0.0,7.215,3.375277777777778,3.0461111111111117,4.596111111111111,7.642222222222223,10.590277777777779
2020-03-27,0.08388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0038888888888888888,0.0038888888888888888,0.0
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.008055555555555555,0.008055555555555555,0.0
2020-04-12,7.335833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,3.5175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,4.674166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,12.215277777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,5.249444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,6.495833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,4.6241666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,2.521666666666667,0.0,0.0,0.0,0.0,0.0,0.0019444444444444444,0.0019444444444444444,0.0
2020-05-03,23.735833333333332,0.0,0.0,0.0,0.0,0.0,0.0038888888888888888,0.0038888888888888888,0.0
2020-05-04,9.293611111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0022222222222222222,0.0
2020-05-06,6.1402777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,9.70388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.005833333333333333,0.005833333333333333,0.0
